Countries,Cost.of.living..2017,latitude,longitude
Bermuda,225.86,32.321384,-64.75737
Iceland,209.1,64.963051,-19.020835
Switzerland,197.89,46.818188,8.227512
Norway,186.52,60.472024,8.468946
Denmark,171.78,56.26392,9.501785
Barbados,169.9,13.193887,-59.543198
Australia,168.02,-25.274398,133.775136
Israel,167.52,31.046051,34.851612
New Zealand,160.18,-40.900557,174.885971
Bahamas,158.09,25.03428,-77.39628
Ireland,157.19,53.41291,-8.24389
Luxembourg,156.4,49.815273,6.129583
Sweden,155.01,60.128161,18.643501
Finland,151.13,61.92411,25.748151
Japan,144.44,36.204824,138.252924
Canada,142.12,56.130366,-106.346771
Netherlands,137.57,52.132633,5.291266
Belgium,136.89,50.503887,4.469936
France,135.27,46.227638,2.213749
Austria,134.56,47.516231,14.550072
Germany,127.47,51.165691,10.451526
Italy,124.24,41.87194,12.56738
Uruguay,124.24,-32.522779,-55.765835
South Korea,123.53,35.907757,127.766922
Aruba,118.56,12.52111,-69.968338
Hong Kong,114.81,22.396428,114.109497
Spain,113.82,40.463667,-3.74922
Qatar,113.61,25.354826,51.183884
Montserrat,112.43,16.742498,-62.187366
Singapore,112.16,1.352083,103.819836
Saint Lucia,110.38,13.909444,-60.978893
Cyprus,108.2,35.126413,33.429859
Portugal,106.46,39.399872,-8.224454
Belize,105.86,17.189877,-88.49765
Chile,105.82,-35.675147,-71.542969
Greece,104.66,39.074208,21.824312
Brazil,104.54,-14.235004,-51.92528
Slovenia,103.47,46.151241,14.995463
Malta,101.71,35.937496,14.375416
Dominica,99.61,15.414999,-61.370976
Estonia,96.58,58.595272,25.013607
Grenada,95.54,12.262776,-61.604171
Seychelles,94.81,-4.679574,55.491977
Costa Rica,94.13,9.748917,-83.753428
Slovakia,93.82,48.669026,19.699024
Argentina,93.54,-38.416097,-63.616672
Angola,92.68,-11.202692,17.873887
Maldives,91.24,3.202778,73.22068
Latvia,89.68,56.879635,24.603189
Kuwait,88.57,29.31166,47.481766
China,87.94,35.86166,104.195397
Djibouti,84.48,11.825138,42.590275
Peru,83.26,-9.189967,-75.015152
Croatia,82.76,45.1,15.2
Ecuador,82.35,-1.831239,-78.183406
Lithuania,79.09,55.169438,23.881275
Oman,78.88,21.512583,55.923255
Jamaica,78.85,18.109581,-77.297508
Gabon,78.6,-0.803689,11.609444
Taiwan,78.15,23.69781,120.960515
Guyana,78.11,4.860416,-58.93018
Bahrain,77.81,25.930414,50.637772
Hungary,77.19,47.162494,19.503304
Mauritius,74.87,-20.348404,57.552152
Mexico,74.69,23.634501,-102.552784
Namibia,74.28,-22.95764,18.49041
El Salvador,73.82,13.794185,-88.89653
Panama,72.83,8.537981,-80.782127
Brunei,72.31,4.535277,114.727669
South Africa,70.41,-30.559482,22.937506
Comoros,70.11,-11.875001,43.872219
Poland,70.08,51.919438,19.145136
Haiti,70.01,18.971187,-72.285215
Cape Verde,69.79,16.002082,-24.013197
Zimbabwe,69.53,-19.015438,29.154857
Botswana,69.39,-22.328474,24.684866
Colombia,68.94,4.570868,-74.297333
Fiji,68.38,-16.578193,179.414413
Montenegro,67.81,42.708678,19.37439
Jordan,66.64,30.585164,36.238414
Saudi Arabia,65.89,23.885942,45.079162
Honduras,65.87,15.199999,-86.241905
Swaziland,65.77,-26.522503,31.465866
Paraguay,65.46,-23.442503,-58.443832
Turkey,64.7,38.963745,35.243322
Serbia,64.05,44.016521,21.005859
Romania,63.98,45.943161,24.96676
Zambia,63.6,-13.133897,27.849332
Morocco,63.47,31.791702,-7.09262
Iraq,63.39,33.223191,43.679291
Russia,61.96,61.52401,105.318756
Liberia,61.04,6.428055,-9.429499
Bulgaria,60.89,42.733883,25.48583
Albania,60.79,41.153332,20.168331
Togo,60.73,8.619543,0.824782
Niger,60.37,17.607789,8.081666
Iran,60.16,32.427908,53.688046
Senegal,58.75,14.497401,-14.452362
Chad,58.53,15.454166,18.732207
Cameroon,58.34,7.369722,12.354722
Kenya,57.71,-0.023559,37.906193
Ghana,57.69,7.946527,-1.023194
Malaysia,57.56,4.210484,101.975766
Lesotho,56.38,-29.609988,28.233608
Thailand,56.12,15.870032,100.992541
Suriname,55.71,3.919305,-56.027783
Philippines,55.15,12.879721,121.774017
Kazakhstan,55.08,48.019573,66.923684
Nicaragua,54.99,12.865416,-85.207229
Indonesia,54.52,-0.789275,113.921327
Burundi,54.25,-3.373056,29.918886
Benin,54.05,9.30769,2.315834
Bolivia,53.79,-16.290154,-63.588653
Laos,53.79,19.85627,102.495496
Georgia,52.82,42.315407,43.356892
Cambodia,52.69,12.565679,104.990963
Bangladesh,52.6,23.684994,90.356331
Nigeria,52.55,9.081999,8.675277
Sri Lanka,52.19,7.873054,80.771797
Mongolia,51.32,46.862496,103.846656
Ethiopia,51.03,9.145,40.489673
Rwanda,50.63,-1.940278,29.873888
Mali,50.55,17.570692,-3.996166
Guinea,50.48,9.945587,-9.696645
Vietnam,50.03,14.058324,108.277199
Mauritania,49.9,21.00789,-10.940835
Armenia,49.68,40.069099,45.038189
Mozambique,49.57,-18.665695,35.529562
Moldova,49.48,47.411631,28.369885
Algeria,49.36,28.033886,1.659626
Burkina Faso,49.19,12.238333,-1.561593
Tanzania,48.53,-6.369028,34.888822
Uganda,48.47,1.373333,32.290275
Malawi,47.49,-13.254308,34.301525
Gambia,46.48,13.443182,-15.310139
Belarus,45.75,53.709807,27.953389
Pakistan,45.2,30.375321,69.345116
Bhutan,45.07,27.514162,90.433601
Madagascar,44.3,-18.766947,46.869107
Tunisia,43.98,33.886917,9.537499
Tajikistan,43.51,38.861034,71.276093
India,42.86,20.593684,78.96288
Nepal,41.85,28.394857,84.124008
Sierra Leone,41.32,8.460555,-11.779889
Azerbaijan,40.56,40.143105,47.576927
