countries,costofliving,globalrank,latitude,longitude
Bermuda,225.86,1,32.321384,-64.75737
Iceland,209.1,2,64.963051,-19.020835
Switzerland,197.89,3,46.818188,8.227512
Norway,186.52,4,60.472024,8.468946
Denmark,171.78,5,56.26392,9.501785
Barbados,169.9,6,13.193887,-59.543198
Australia,168.02,7,-25.274398,133.775136
Israel,167.52,8,31.046051,34.851612
New Zealand,160.18,9,-40.900557,174.885971
Bahamas,158.09,10,25.03428,-77.39628
Ireland,157.19,11,53.41291,-8.24389
Luxembourg,156.4,12,49.815273,6.129583
Sweden,155.01,13,60.128161,18.643501
Finland,151.13,14,61.92411,25.748151
Japan,144.44,15,36.204824,138.252924
Canada,142.12,18,56.130366,-106.346771
Netherlands,137.57,19,52.132633,5.291266
Belgium,136.89,20,50.503887,4.469936
